nuttcp-t: v8.1.4: socket
nuttcp-t: buflen=65536, nstream=1, port=5007 tcp -> 54.176.53.206
nuttcp-t: time limit = 30.00 seconds
nuttcp-t: connect to 54.176.53.206 with mss=1376, RTT=30.602 ms af=inet
nuttcp-t: send window size = 33554432, receive window size = 6291456
nuttcp-t: available send window = 25165824, available receive window = 4718592
nuttcp-t: initial congestion window = 13 KB (10 packets)
nuttcp-r: Warning: receive window size 25000000 < requested window size 26214400
nuttcp-r: v6.1.2: socket
nuttcp-r: buflen=65536, nstream=1, port=5007 tcp
nuttcp-r: interval reporting every 0.10 seconds
nuttcp-r: accept from 174.204.9.100
nuttcp-r: send window size = 25000000, receive window size = 50000000
nuttcp-r: available send window = 12500000, available receive window = 25000000
    2.9375 MB /   0.10 sec =  246.4129 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4228 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.3897 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  272.6925 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6507 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.9165 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4129 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.6502 Mbps     0 retrans   5567 KB-cwnd
    3.3750 MB /   0.10 sec =  282.8949 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.4091 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9532 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9225 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.1267 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.7236 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.1471 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.6744 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.8541 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  236.0216 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.6557 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9060 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.6858 Mbps     0 retrans   5567 KB-cwnd
    3.4375 MB /   0.10 sec =  288.4190 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.1966 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  255.9490 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  231.5551 Mbps     0 retrans   5567 KB-cwnd
    2.0625 MB /   0.10 sec =  171.9985 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  232.0395 Mbps     0 retrans   5567 KB-cwnd
    2.4375 MB /   0.10 sec =  204.4785 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9237 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.4548 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.2120 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  212.1262 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  232.9839 Mbps     0 retrans   5567 KB-cwnd
    3.2500 MB /   0.10 sec =  273.6148 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.4258 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  240.8113 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.5968 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.8993 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9172 Mbps     0 retrans   5567 KB-cwnd
    2.7500 MB /   0.10 sec =  230.4931 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  236.0500 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.4832 Mbps     0 retrans   5567 KB-cwnd
    2.3125 MB /   0.10 sec =  194.0234 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.3361 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.4596 Mbps     0 retrans   5567 KB-cwnd
    2.1875 MB /   0.10 sec =  183.4678 Mbps     0 retrans   5567 KB-cwnd
    3.1250 MB /   0.10 sec =  262.1335 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.2406 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.4596 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.2054 Mbps     0 retrans   5567 KB-cwnd
    2.6875 MB /   0.10 sec =  225.4348 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  217.6716 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  259.9346 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9272 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.9559 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.1387 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.9438 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.2142 Mbps     0 retrans   5567 KB-cwnd
    2.5625 MB /   0.10 sec =  214.7562 Mbps     0 retrans   5567 KB-cwnd
    2.8750 MB /   0.10 sec =  241.4091 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.7740 Mbps     0 retrans   5567 KB-cwnd
    2.0625 MB /   0.10 sec =  173.0981 Mbps     0 retrans   5567 KB-cwnd
    2.5000 MB /   0.10 sec =  209.7383 Mbps     0 retrans   5567 KB-cwnd
    1.5625 MB /   0.10 sec =  131.0550 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7739 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7456 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.7456 Mbps     0 retrans   5567 KB-cwnd
    2.3750 MB /   0.10 sec =  199.1916 Mbps     0 retrans   5567 KB-cwnd
    3.0625 MB /   0.10 sec =  256.5727 Mbps     0 retrans   5567 KB-cwnd
    2.9375 MB /   0.10 sec =  246.5312 Mbps     0 retrans   5567 KB-cwnd
    2.6250 MB /   0.10 sec =  220.3795 Mbps     0 retrans   5567 KB-cwnd
    3.1875 MB /   0.10 sec =  267.3922 Mbps     0 retrans   5567 KB-cwnd
    3.0000 MB /   0.10 sec =  251.7136 Mbps     0 retrans   5567 KB-cwnd
    2.8125 MB /   0.10 sec =  235.8966 Mbps     0 retrans   5567 KB-cwnd
    2.3750 MB /   0.10 sec =  199.0264 Mbps     0 retrans   5567 KB-cwnd
    2.1875 MB /   0.10 sec =  183.7066 Mbps     0 retrans   5567 KB-cwnd
    2.1875 MB /   0.10 sec =  183.4880 Mbps     0 retrans   5567 KB-cwnd
    1.6875 MB /   0.10 sec =  141.5422 Mbps     0 retrans   5567 KB-cwnd
    1.5625 MB /   0.10 sec =  130.3265 Mbps     0 retrans   5567 KB-cwnd
    1.8750 MB /   0.10 sec =  158.2151 Mbps     0 retrans   5567 KB-cwnd
    1.8125 MB /   0.10 sec =  152.0481 Mbps     0 retrans   5567 KB-cwnd
    1.5000 MB /   0.10 sec =  125.8102 Mbps     0 retrans   5567 KB-cwnd
    2.2500 MB /   0.10 sec =  188.5043 Mbps     0 retrans   5567 KB-cwnd
    1.4375 MB /   0.10 sec =  120.7505 Mbps     0 retrans   5567 KB-cwnd
    1.8750 MB /   0.10 sec =  157.2911 Mbps     0 retrans   5567 KB-cwnd
    1.5000 MB /   0.10 sec =  125.8367 Mbps     0 retrans   5567 KB-cwnd
    1.8125 MB /   0.10 sec =  152.0283 Mbps     0 retrans   5567 KB-cwnd
    1.1875 MB /   0.10 sec =   99.6087 Mbps     0 retrans   5567 KB-cwnd
    1.8125 MB /   0.10 sec =  152.0526 Mbps     0 retrans   5567 KB-cwnd
    1.4375 MB /   0.10 sec =  120.5874 Mbps     0 retrans   5567 KB-cwnd
    1.6875 MB /   0.10 sec =  141.5521 Mbps     0 retrans   5567 KB-cwnd
    1.8750 MB /   0.10 sec =  157.2754 Mbps     0 retrans   5567 KB-cwnd
